Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
0,0,2,word2vec,10,i2q,approx,0.41493394600804134,0.042363041413039655,0.16957831382751465
2,0,2,glove,10,i2q,approx,0.6770821367030442,0.07068671895612962,0.19948768615722656
3,0,2,bert,10,i2q,approx,0.4044801838024124,0.04135298608256504,0.4654231071472168
4,0,2,distilbert,10,i2q,approx,0.43687535898908675,0.04666028661170004,0.5189797878265381
5,0,2,roberta,10,i2q,approx,0.5179781734635267,0.05190156084534279,0.540250301361084
6,0,2,xlnet,10,i2q,approx,0.17932222860425043,0.017770542565059996,0.3893568515777588
7,0,2,albert,10,i2q,approx,0.1653072946582424,0.018326307611976414,0.4261636734008789
8,0,2,smpnet,10,i2q,approx,0.6306720275703619,0.06795059039037553,0.5536448955535889
9,0,2,st5,10,i2q,approx,0.9623205054566342,0.11203991012197731,0.8286192417144775
10,0,2,sdistilroberta,10,i2q,approx,0.7687535898908673,0.08129251700680272,0.563072681427002
11,0,2,sminilm,10,i2q,approx,0.7584147041929925,0.08339017304534546,0.24352574348449707
12,1,2,word2vec,10,i2q,approx,0.311462468946623,0.031241921698405416,1.61476731300354
14,1,2,glove,10,i2q,approx,0.5949710942397437,0.0606080673580644,2.8002777099609375
15,1,2,bert,10,i2q,approx,0.32402312460820504,0.03201747241831025,8.139266729354858
16,1,2,distilbert,10,i2q,approx,0.3492373058438392,0.03612895167914839,9.300370693206787
17,1,2,roberta,10,i2q,approx,0.40818648278423997,0.03957465295363636,10.294297218322754
18,1,2,xlnet,10,i2q,approx,0.1413247893013861,0.013484057046400042,6.9920289516448975
19,1,2,albert,10,i2q,approx,0.11125815513918878,0.011818062991854119,7.2184669971466064
20,1,2,smpnet,10,i2q,approx,0.5302407652480787,0.055288048359490936,10.948655366897583
21,1,2,st5,10,i2q,approx,0.9334354902370504,0.1050505472798012,15.034360408782959
22,1,2,sdistilroberta,10,i2q,approx,0.6762090501729702,0.06954493139825307,11.332246780395508
23,1,2,sminilm,10,i2q,approx,0.6727960808896938,0.07203601552187455,3.949286460876465
24,2,2,word2vec,10,i2q,approx,0.27830216264898183,0.027754319334474892,4.587674856185913
26,2,2,glove,10,i2q,approx,0.54928243096249,0.05534036528270581,8.80676794052124
27,2,2,bert,10,i2q,approx,0.2959519047451957,0.02875108940074153,20.135889768600464
28,2,2,distilbert,10,i2q,approx,0.3179994619694258,0.032315807740674794,22.02579641342163
29,2,2,roberta,10,i2q,approx,0.3635917049721043,0.03466231947405511,25.150136709213257
30,2,2,xlnet,10,i2q,approx,0.12186392505000175,0.011427086109493398,17.297481536865234
31,2,2,albert,10,i2q,approx,0.09659988069756834,0.010082427107189422,17.224253177642822
