,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
0,D1,0,word2vec,1,q2i,exact,0.5842696629213483,0.15339233038348082,0.009874582290649414
1,D1,0,word2vec,1,i2q,exact,0.6741573033707865,0.026595744680851064,0.011507749557495117
2,D1,0,word2vec,1,q2i,approx,0.2808988764044944,0.07374631268436578,0.05337119102478027
3,D1,0,word2vec,1,i2q,approx,0.29213483146067415,0.01152482269503546,0.01149606704711914
4,D1,0,word2vec,5,q2i,exact,0.6853932584269663,0.0359882005899705,0.0065250396728515625
5,D1,0,word2vec,5,i2q,exact,0.7415730337078652,0.005851063829787234,0.017583847045898438
6,D1,0,word2vec,5,q2i,approx,0.3146067415730337,0.016519174041297935,0.05276012420654297
7,D1,0,word2vec,5,i2q,approx,0.3258426966292135,0.0025709219858156026,0.012837409973144531
8,D1,0,word2vec,10,q2i,exact,0.7191011235955056,0.01887905604719764,0.007418632507324219
9,D1,0,word2vec,10,i2q,exact,0.7415730337078652,0.002925531914893617,0.026908397674560547
10,D1,0,word2vec,10,q2i,approx,0.34831460674157305,0.009144542772861357,0.05250215530395508
11,D1,0,word2vec,10,i2q,approx,0.34831460674157305,0.001374113475177305,0.014722108840942383
12,D1,0,fasttext,1,q2i,exact,0.9101123595505618,0.23893805309734514,0.007399797439575195
13,D1,0,fasttext,1,i2q,exact,0.898876404494382,0.03546099290780142,0.01096653938293457
14,D1,0,fasttext,1,q2i,approx,0.48314606741573035,0.12684365781710916,0.043671607971191406
15,D1,0,fasttext,1,i2q,approx,0.8539325842696629,0.03368794326241135,0.010323524475097656
16,D1,0,fasttext,5,q2i,exact,0.9662921348314607,0.05073746312684366,0.006072044372558594
17,D1,0,fasttext,5,i2q,exact,0.9325842696629213,0.0073581560283687945,0.017709970474243164
18,D1,0,fasttext,5,q2i,approx,0.4943820224719101,0.025958702064896755,0.04506540298461914
19,D1,0,fasttext,5,i2q,approx,0.8876404494382022,0.00700354609929078,0.011739969253540039
20,D1,0,fasttext,10,q2i,exact,0.9662921348314607,0.02536873156342183,0.008005619049072266
21,D1,0,fasttext,10,i2q,exact,0.9550561797752809,0.0037677304964539005,0.026916027069091797
22,D1,0,fasttext,10,q2i,approx,0.48314606741573035,0.012684365781710914,0.04497790336608887
23,D1,0,fasttext,10,i2q,approx,0.898876404494382,0.0035460992907801418,0.013574838638305664
24,D1,0,glove,1,q2i,exact,0.8651685393258427,0.22713864306784662,0.008696794509887695
25,D1,0,glove,1,i2q,exact,0.8764044943820225,0.034574468085106384,0.010692358016967773
26,D1,0,glove,1,q2i,approx,0.0,0.0,0.04932355880737305
27,D1,0,glove,1,i2q,approx,0.14606741573033707,0.00576241134751773,0.010349750518798828
28,D1,0,glove,5,q2i,exact,0.8876404494382022,0.04660766961651917,0.006545305252075195
29,D1,0,glove,5,i2q,exact,0.8876404494382022,0.00700354609929078,0.017359495162963867
30,D1,0,glove,5,q2i,approx,0.0,0.0,0.04998326301574707
31,D1,0,glove,5,i2q,approx,0.14606741573033707,0.001152482269503546,0.012010335922241211
32,D1,0,glove,10,q2i,exact,0.898876404494382,0.02359882005899705,0.008035659790039062
33,D1,0,glove,10,i2q,exact,0.898876404494382,0.0035460992907801418,0.02694988250732422
34,D1,0,glove,10,q2i,approx,0.0,0.0,0.05132102966308594
35,D1,0,glove,10,i2q,approx,0.14606741573033707,0.000576241134751773,0.014014720916748047
36,D1,0,bert,1,q2i,exact,0.8202247191011236,0.2153392330383481,0.011619329452514648
