Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.024408340454101562,195,0.95
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.024440765380859375,195,0.8999999999999999
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.024460554122924805,195,0.8499999999999999
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.024486303329467773,195,0.7999999999999998
D1,2,word2vec,0.5056179775280899,0.22959183673469388,0.31578947368421056,0.02454400062561035,196,0.7499999999999998
D1,2,word2vec,0.5056179775280899,0.22842639593908629,0.31468531468531463,0.024622678756713867,197,0.6999999999999997
D1,2,word2vec,0.5056179775280899,0.22727272727272727,0.313588850174216,0.024759292602539062,198,0.6499999999999997
D1,2,word2vec,0.5056179775280899,0.22613065326633167,0.3125,0.02483534812927246,199,0.5999999999999996
D1,2,word2vec,0.5056179775280899,0.22613065326633167,0.3125,0.025711536407470703,199,0.5499999999999996
D1,2,word2vec,0.5168539325842697,0.21904761904761905,0.3076923076923077,0.027494192123413086,210,0.4999999999999996
D1,2,word2vec,0.5280898876404494,0.2088888888888889,0.29936305732484075,0.049252986907958984,225,0.4499999999999996
D1,2,word2vec,0.5393258426966292,0.20512820512820512,0.29721362229102166,0.08626818656921387,234,0.39999999999999963
D1,2,word2vec,0.5393258426966292,0.192,0.2831858407079646,0.17641448974609375,250,0.34999999999999964
D1,2,word2vec,0.5393258426966292,0.1509433962264151,0.23587223587223588,0.42038822174072266,318,0.29999999999999966
D1,2,word2vec,0.5393258426966292,0.1415929203539823,0.22429906542056074,0.7680675983428955,339,0.24999999999999967
D1,2,fasttext,0.0,0.0,0.0,0.0004513263702392578,74,0.95
D1,2,fasttext,0.3258426966292135,0.27358490566037735,0.2974358974358975,0.0007760524749755859,106,0.8999999999999999
D1,2,fasttext,0.5393258426966292,0.3609022556390977,0.43243243243243246,0.001176595687866211,133,0.8499999999999999
D1,2,fasttext,0.7191011235955056,0.4,0.5140562248995985,0.0017957687377929688,160,0.7999999999999998
D1,2,fasttext,0.7303370786516854,0.38922155688622756,0.5078125,0.0025587081909179688,167,0.7499999999999998
D1,2,fasttext,0.7303370786516854,0.38461538461538464,0.5038759689922481,0.0038270950317382812,169,0.6999999999999997
D1,2,fasttext,0.7415730337078652,0.38596491228070173,0.5076923076923077,0.005799531936645508,171,0.6499999999999997
D1,2,fasttext,0.7865168539325843,0.3888888888888889,0.5204460966542751,0.007149219512939453,180,0.5999999999999996
D1,2,fasttext,0.8089887640449438,0.3891891891891892,0.5255474452554745,0.009270429611206055,185,0.5499999999999996
D1,2,fasttext,0.8314606741573034,0.37948717948717947,0.5211267605633803,0.014244794845581055,195,0.4999999999999996
D1,2,fasttext,0.8764044943820225,0.3786407766990291,0.5288135593220339,0.02337932586669922,206,0.4499999999999996
D1,2,fasttext,0.898876404494382,0.3669724770642202,0.5211726384364821,0.053076744079589844,218,0.39999999999999963
D1,2,fasttext,0.9213483146067416,0.36123348017621143,0.5189873417721519,0.144148588180542,227,0.34999999999999964
D1,2,fasttext,0.9213483146067416,0.351931330472103,0.5093167701863354,0.37104129791259766,233,0.29999999999999966
D1,2,fasttext,0.9213483146067416,0.3374485596707819,0.49397590361445787,0.6982192993164062,243,0.24999999999999967
D1,2,fasttext,0.9213483146067416,0.2808219178082192,0.4304461942257218,0.9747600555419922,292,0.19999999999999968
D1,2,fasttext,0.9213483146067416,0.24188790560471976,0.38317757009345793,1.1785621643066406,339,0.1499999999999997
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0027532577514648438,172,0.95
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002788543701171875,172,0.8999999999999999
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0028138160705566406,172,0.8499999999999999
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002837657928466797,172,0.7999999999999998
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0028607845306396484,172,0.7499999999999998
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002894163131713867,172,0.6999999999999997
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.0029230117797851562,173,0.6499999999999997
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.0029485225677490234,173,0.5999999999999996
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.002982616424560547,173,0.5499999999999996
D1,2,glove,0.7415730337078652,0.3793103448275862,0.5019011406844106,0.003065347671508789,174,0.4999999999999996
D1,2,glove,0.7415730337078652,0.375,0.4981132075471698,0.0032355785369873047,176,0.4499999999999996
D1,2,glove,0.7415730337078652,0.3626373626373626,0.4870848708487085,0.003751516342163086,182,0.39999999999999963
D1,2,glove,0.7528089887640449,0.3435897435897436,0.4718309859154929,0.005182027816772461,195,0.34999999999999964
D1,2,glove,0.7528089887640449,0.335,0.46366782006920415,0.008536100387573242,200,0.29999999999999966
D1,2,glove,0.7865168539325843,0.3167420814479638,0.4516129032258065,0.01861286163330078,221,0.24999999999999967
D1,2,glove,0.797752808988764,0.26996197718631176,0.4034090909090909,0.085205078125,263,0.19999999999999968
D1,2,glove,0.8202247191011236,0.24414715719063546,0.37628865979381443,0.3093726634979248,299,0.1499999999999997
D1,2,glove,0.8202247191011236,0.2153392330383481,0.34112149532710284,1.142775535583496,339,0.09999999999999969
D1,2,bert,0.0,0.0,0.0,0.0003459453582763672,73,0.95
D1,2,bert,0.0,0.0,0.0,0.00035572052001953125,73,0.8999999999999999
D1,2,bert,0.0,0.0,0.0,0.0003609657287597656,73,0.8499999999999999
D1,2,bert,0.0,0.0,0.0,0.0003662109375,73,0.7999999999999998
D1,2,bert,0.0,0.0,0.0,0.0003712177276611328,73,0.7499999999999998
D1,2,bert,0.0,0.0,0.0,0.0003757476806640625,73,0.6999999999999997
D1,2,bert,0.0,0.0,0.0,0.0003807544708251953,73,0.6499999999999997
D1,2,bert,0.0,0.0,0.0,0.000385284423828125,73,0.5999999999999996
D1,2,bert,0.0,0.0,0.0,0.0003902912139892578,73,0.5499999999999996
D1,2,bert,0.0,0.0,0.0,0.0003948211669921875,73,0.4999999999999996
D1,2,bert,0.0,0.0,0.0,0.0003993511199951172,73,0.4499999999999996
D1,2,bert,0.0,0.0,0.0,0.0004067420959472656,73,0.39999999999999963
D1,2,bert,0.0,0.0,0.0,0.0004298686981201172,75,0.34999999999999964
D1,2,bert,0.011235955056179775,0.012987012987012988,0.012048192771084338,0.000484466552734375,77,0.29999999999999966
D1,2,bert,0.16853932584269662,0.14705882352941177,0.15706806282722513,0.0009760856628417969,102,0.24999999999999967
D1,2,bert,0.4943820224719101,0.2802547770700637,0.3577235772357723,0.004020214080810547,157,0.19999999999999968
D1,2,bert,0.7415730337078652,0.25287356321839083,0.37714285714285717,0.05459451675415039,261,0.1499999999999997
