,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
2,D1,2,word2vec,1,i2q,exact,0.6741573033707865,0.026595744680851064,0.024570226669311523
1,D1,2,word2vec,5,i2q,exact,0.7752808988764045,0.006117021276595745,0.10059905052185059
2,D1,2,word2vec,10,i2q,exact,0.8314606741573034,0.003280141843971631,0.19664216041564941
3,D1,2,fasttext,1,i2q,exact,0.9325842696629213,0.03679078014184397,0.027582883834838867
4,D1,2,fasttext,5,i2q,exact,0.9550561797752809,0.007535460992907801,0.11720132827758789
5,D1,2,fasttext,10,i2q,exact,0.9887640449438202,0.003900709219858156,0.22057175636291504
6,D1,2,glove,1,i2q,exact,0.8876404494382022,0.0350177304964539,0.026407241821289062
7,D1,2,glove,5,i2q,exact,0.8876404494382022,0.00700354609929078,0.10179972648620605
8,D1,2,glove,10,i2q,exact,0.9213483146067416,0.0036347517730496454,0.20863747596740723
9,D1,2,bert,1,i2q,exact,0.8426966292134831,0.03324468085106383,0.031781911849975586
10,D1,2,bert,5,i2q,exact,0.9213483146067416,0.007269503546099291,0.11899995803833008
11,D1,2,bert,10,i2q,exact,0.9325842696629213,0.0036790780141843973,0.20653963088989258
12,D1,2,distilbert,1,i2q,exact,0.898876404494382,0.03546099290780142,0.031504154205322266
13,D1,2,distilbert,5,i2q,exact,0.9438202247191011,0.007446808510638298,0.11649608612060547
14,D1,2,distilbert,10,i2q,exact,0.9662921348314607,0.0038120567375886523,0.19739484786987305
15,D1,2,roberta,1,i2q,exact,0.9213483146067416,0.03634751773049645,0.02703857421875
16,D1,2,roberta,5,i2q,exact,0.9325842696629213,0.0073581560283687945,0.10304427146911621
17,D1,2,roberta,10,i2q,exact,0.9325842696629213,0.0036790780141843973,0.19846463203430176
18,D1,2,xlnet,1,i2q,exact,0.34831460674157305,0.01374113475177305,0.02716660499572754
19,D1,2,xlnet,5,i2q,exact,0.4606741573033708,0.0036347517730496454,0.10961723327636719
20,D1,2,xlnet,10,i2q,exact,0.5280898876404494,0.0020833333333333333,0.19992494583129883
21,D1,2,albert,1,i2q,exact,0.39325842696629215,0.01551418439716312,0.031618595123291016
22,D1,2,albert,5,i2q,exact,0.5730337078651685,0.0045212765957446804,0.11205053329467773
23,D1,2,albert,10,i2q,exact,0.6404494382022472,0.0025265957446808512,0.19223713874816895
24,D1,2,smpnet,1,i2q,exact,0.9775280898876404,0.03856382978723404,0.027281522750854492
25,D1,2,smpnet,5,i2q,exact,1.0,0.007890070921985815,0.10294389724731445
26,D1,2,smpnet,10,i2q,exact,1.0,0.003945035460992907,0.19397401809692383
27,D1,2,st5,1,i2q,exact,0.9775280898876404,0.03856382978723404,0.03087639808654785
28,D1,2,st5,5,i2q,exact,1.0,0.007890070921985815,0.10080575942993164
29,D1,2,st5,10,i2q,exact,1.0,0.003945035460992907,0.1932225227355957
30,D1,2,sdistilroberta,1,i2q,exact,0.9662921348314607,0.038120567375886524,0.0323946475982666
31,D1,2,sdistilroberta,5,i2q,exact,1.0,0.007890070921985815,0.10395956039428711
32,D1,2,sdistilroberta,10,i2q,exact,1.0,0.003945035460992907,0.1937391757965088
33,D1,2,sminilm,1,i2q,exact,1.0,0.03945035460992908,0.027695178985595703
34,D1,2,sminilm,5,i2q,exact,1.0,0.007890070921985815,0.11879944801330566
35,D1,2,sminilm,10,i2q,exact,1.0,0.003945035460992907,0.2180178165435791
36,D2,2,word2vec,1,i2q,exact,0.3215613382899628,0.3215613382899628,0.013952493667602539
37,D2,2,word2vec,5,i2q,exact,0.5938661710037175,0.1187732342007435,0.048317670822143555
38,D2,2,word2vec,10,i2q,exact,0.7007434944237918,0.07007434944237918,0.09374809265136719
39,D2,2,fasttext,1,i2q,exact,0.38661710037174724,0.38661710037174724,0.013174295425415039
40,D2,2,fasttext,5,i2q,exact,0.6171003717472119,0.12342007434944238,0.0483555793762207
41,D2,2,fasttext,10,i2q,exact,0.6830855018587361,0.0683085501858736,0.09481239318847656
42,D2,2,glove,1,i2q,exact,0.37174721189591076,0.37174721189591076,0.015295743942260742
43,D2,2,glove,5,i2q,exact,0.6394052044609665,0.12788104089219332,0.055303096771240234
44,D2,2,glove,10,i2q,exact,0.7639405204460966,0.07639405204460967,0.10801434516906738
45,D2,2,bert,1,i2q,exact,0.14033457249070633,0.14033457249070633,0.013257503509521484
46,D2,2,bert,5,i2q,exact,0.2992565055762082,0.05985130111524164,0.04876065254211426
47,D2,2,bert,10,i2q,exact,0.387546468401487,0.0387546468401487,0.0945138931274414
48,D2,2,distilbert,1,i2q,exact,0.08828996282527882,0.08828996282527882,0.01588153839111328
49,D2,2,distilbert,5,i2q,exact,0.24442379182156135,0.04888475836431227,0.05580854415893555
50,D2,2,distilbert,10,i2q,exact,0.3420074349442379,0.03420074349442379,0.10625410079956055
51,D2,2,roberta,1,i2q,exact,0.048327137546468404,0.048327137546468404,0.01588153839111328
52,D2,2,roberta,5,i2q,exact,0.11152416356877323,0.022304832713754646,0.055687904357910156
53,D2,2,roberta,10,i2q,exact,0.1524163568773234,0.015241635687732341,0.1058192253112793
54,D2,2,xlnet,1,i2q,exact,0.004646840148698885,0.004646840148698885,0.015790224075317383
55,D2,2,xlnet,5,i2q,exact,0.011152416356877323,0.0022304832713754648,0.055457353591918945
56,D2,2,xlnet,10,i2q,exact,0.017657992565055763,0.0017657992565055763,0.10708189010620117
57,D2,2,albert,1,i2q,exact,0.013940520446096654,0.013940520446096654,0.01595282554626465
58,D2,2,albert,5,i2q,exact,0.03438661710037175,0.00687732342007435,0.05579042434692383
59,D2,2,albert,10,i2q,exact,0.05390334572490706,0.005390334572490706,0.10686016082763672
60,D2,2,smpnet,1,i2q,exact,0.662639405204461,0.662639405204461,0.015869617462158203
61,D2,2,smpnet,5,i2q,exact,0.9154275092936803,0.18308550185873607,0.05194401741027832
62,D2,2,smpnet,10,i2q,exact,0.9618959107806692,0.09618959107806692,0.09296798706054688
63,D2,2,st5,1,i2q,exact,0.699814126394052,0.699814126394052,0.015974760055541992
64,D2,2,st5,5,i2q,exact,0.9302973977695167,0.18605947955390334,0.056062936782836914
65,D2,2,st5,10,i2q,exact,0.9693308550185874,0.09693308550185874,0.1069488525390625
66,D2,2,sdistilroberta,1,i2q,exact,0.7267657992565055,0.7267657992565055,0.015907764434814453
67,D2,2,sdistilroberta,5,i2q,exact,0.9395910780669146,0.1879182156133829,0.057903289794921875
68,D2,2,sdistilroberta,10,i2q,exact,0.9684014869888475,0.09684014869888476,0.10995745658874512
69,D2,2,sminilm,1,i2q,exact,0.6765799256505576,0.6765799256505576,0.015370607376098633
70,D2,2,sminilm,5,i2q,exact,0.9172862453531598,0.18345724907063196,0.05017590522766113
71,D2,2,sminilm,10,i2q,exact,0.9656133828996283,0.09656133828996283,0.09342074394226074
72,D3,2,word2vec,1,i2q,exact,0.3182230281051677,0.11549851924975321,0.03420710563659668
73,D3,2,word2vec,5,i2q,exact,0.4768812330009066,0.034616650213886144,0.13555121421813965
74,D3,2,word2vec,10,i2q,exact,0.5339981867633726,0.019381375452451464,0.26181650161743164
75,D3,2,fasttext,1,i2q,exact,0.31640979147778786,0.1148404080289569,0.04260897636413574
76,D3,2,fasttext,5,i2q,exact,0.43608340888485947,0.031655149720302735,0.15974092483520508
77,D3,2,fasttext,10,i2q,exact,0.4814143245693563,0.01747285291214215,0.26267194747924805
78,D3,2,glove,1,i2q,exact,0.36627379873073435,0.13293846660085554,0.04491257667541504
79,D3,2,glove,5,i2q,exact,0.527651858567543,0.03830207305034551,0.15253210067749023
80,D3,2,glove,10,i2q,exact,0.5757026291931097,0.020895031260282988,0.25961875915527344
81,D3,2,bert,1,i2q,exact,0.1468721668177697,0.05330700888450148,0.04362845420837402
82,D3,2,bert,5,i2q,exact,0.24388032638259294,0.017703191839420863,0.1432788372039795
83,D3,2,bert,10,i2q,exact,0.2928377153218495,0.01062849621586048,0.27000999450683594
84,D3,2,distilbert,1,i2q,exact,0.20580235720761558,0.0746956235603817,0.036528825759887695
85,D3,2,distilbert,5,i2q,exact,0.329102447869447,0.02388943731490622,0.14404749870300293
86,D3,2,distilbert,10,i2q,exact,0.37896645512239346,0.013754524514642975,0.2617764472961426
87,D3,2,roberta,1,i2q,exact,0.13417951042611062,0.04870023033892728,0.04387187957763672
88,D3,2,roberta,5,i2q,exact,0.20398912058023572,0.014807502467917079,0.15316176414489746
89,D3,2,roberta,10,i2q,exact,0.23390752493200362,0.008489634748272457,0.2609999179840088
90,D3,2,xlnet,1,i2q,exact,0.013599274705349048,0.004935834155972359,0.0363004207611084
91,D3,2,xlnet,5,i2q,exact,0.032638259292837715,0.0023692003948667323,0.1343677043914795
92,D3,2,xlnet,10,i2q,exact,0.04533091568449683,0.0016452780519907865,0.25840187072753906
93,D3,2,albert,1,i2q,exact,0.022665457842248413,0.008226390259953932,0.03611278533935547
94,D3,2,albert,5,i2q,exact,0.05530371713508613,0.004014478446857519,0.13499212265014648
95,D3,2,albert,10,i2q,exact,0.0770625566636446,0.002796972688384337,0.25926971435546875
96,D3,2,smpnet,1,i2q,exact,0.6618313689936537,0.24021059559065483,0.03595256805419922
97,D3,2,smpnet,5,i2q,exact,0.9120580235720761,0.06620598881210925,0.13423562049865723
98,D3,2,smpnet,10,i2q,exact,0.9419764279238441,0.034188877920368545,0.25883054733276367
99,D3,2,st5,1,i2q,exact,0.6337262012692656,0.23000987166831194,0.03625750541687012
100,D3,2,st5,5,i2q,exact,0.886672710788758,0.06436327739387956,0.13439416885375977
101,D3,2,st5,10,i2q,exact,0.9202175883952856,0.03339914445541296,0.2602109909057617
102,D3,2,sdistilroberta,1,i2q,exact,0.6165004533091568,0.22375781507074696,0.03831911087036133
103,D3,2,sdistilroberta,5,i2q,exact,0.8658204895738894,0.06284962158604804,0.13604068756103516
104,D3,2,sdistilroberta,10,i2q,exact,0.9093381686310064,0.033004277722935176,0.2611277103424072
105,D3,2,sminilm,1,i2q,exact,0.6627379873073436,0.24053965120105297,0.04223227500915527
106,D3,2,sminilm,5,i2q,exact,0.8975521305530372,0.06515301085883514,0.15153932571411133
107,D3,2,sminilm,10,i2q,exact,0.9374433363553943,0.034024350115169466,0.25638866424560547
108,D4,2,word2vec,1,i2q,exact,0.7756294964028777,0.7519616390584133,0.0330045223236084
109,D4,2,word2vec,5,i2q,exact,0.8655575539568345,0.16782911944202267,0.11673808097839355
110,D4,2,word2vec,10,i2q,exact,0.8911870503597122,0.08639930252833479,0.19873380661010742
111,D4,2,fasttext,1,i2q,exact,0.920863309352518,0.8927637314734089,0.03284049034118652
112,D4,2,fasttext,5,i2q,exact,0.9653776978417267,0.18718395815170008,0.11747264862060547
113,D4,2,fasttext,10,i2q,exact,0.9721223021582733,0.0942458587619878,0.19789409637451172
114,D4,2,glove,1,i2q,exact,0.9437949640287769,0.9149956408020924,0.03258013725280762
115,D4,2,glove,5,i2q,exact,0.9689748201438849,0.1878814298169137,0.10085725784301758
116,D4,2,glove,10,i2q,exact,0.9739208633093526,0.0944202266782912,0.197845458984375
117,D4,2,bert,1,i2q,exact,0.835431654676259,0.8099389712292938,0.030733108520507812
118,D4,2,bert,5,i2q,exact,0.8678057553956835,0.16826503923278116,0.10530328750610352
119,D4,2,bert,10,i2q,exact,0.8799460431654677,0.08530950305143853,0.20098352432250977
120,D4,2,distilbert,1,i2q,exact,0.9325539568345323,0.9040976460331299,0.029451847076416016
121,D4,2,distilbert,5,i2q,exact,0.9662769784172662,0.18735832606800348,0.10577583312988281
122,D4,2,distilbert,10,i2q,exact,0.9757194244604317,0.0945945945945946,0.20104503631591797
123,D4,2,roberta,1,i2q,exact,0.8920863309352518,0.8648648648648649,0.030071735382080078
124,D4,2,roberta,5,i2q,exact,0.9428956834532374,0.1828247602441151,0.10644316673278809
125,D4,2,roberta,10,i2q,exact,0.9527877697841727,0.09237140366172625,0.20026063919067383
126,D4,2,xlnet,1,i2q,exact,0.20593525179856115,0.1996512641673932,0.02871990203857422
127,D4,2,xlnet,5,i2q,exact,0.25359712230215825,0.049171752397558846,0.10262894630432129
128,D4,2,xlnet,10,i2q,exact,0.27697841726618705,0.026852659110723626,0.19630718231201172
129,D4,2,albert,1,i2q,exact,0.31160071942446044,0.3020924149956408,0.028873443603515625
130,D4,2,albert,5,i2q,exact,0.4028776978417266,0.07811682650392328,0.10344290733337402
131,D4,2,albert,10,i2q,exact,0.4464928057553957,0.043286835222319096,0.19684791564941406
132,D4,2,smpnet,1,i2q,exact,0.9613309352517986,0.9319965126416739,0.028976917266845703
133,D4,2,smpnet,5,i2q,exact,0.9806654676258992,0.1901482127288579,0.10276055335998535
134,D4,2,smpnet,10,i2q,exact,0.9838129496402878,0.0953792502179599,0.19811797142028809
135,D4,2,st5,1,i2q,exact,0.9824640287769785,0.9524847428073234,0.02905106544494629
136,D4,2,st5,5,i2q,exact,0.9941546762589928,0.1927637314734089,0.10599803924560547
137,D4,2,st5,10,i2q,exact,0.9950539568345323,0.09646904969485615,0.22106385231018066
138,D4,2,sdistilroberta,1,i2q,exact,0.9649280575539568,0.9354838709677419,0.033354997634887695
139,D4,2,sdistilroberta,5,i2q,exact,0.9838129496402878,0.1907585004359198,0.11734747886657715
140,D4,2,sdistilroberta,10,i2q,exact,0.987410071942446,0.09572798605056669,0.19632625579833984
141,D4,2,sminilm,1,i2q,exact,0.9685251798561151,0.9389712292938099,0.032109975814819336
142,D4,2,sminilm,5,i2q,exact,0.9892086330935251,0.1918047079337402,0.11850833892822266
143,D4,2,sminilm,10,i2q,exact,0.9914568345323741,0.09612031386224934,0.19687771797180176
144,D5,2,word2vec,1,i2q,exact,0.4766791044776119,0.06542893725992317,0.10753226280212402
145,D5,2,word2vec,5,i2q,exact,0.5298507462686567,0.014545454545454545,0.35537171363830566
146,D5,2,word2vec,10,i2q,exact,0.5373134328358209,0.007375160051216389,0.6686296463012695
147,D5,2,fasttext,1,i2q,exact,0.28171641791044777,0.038668373879641484,0.1107645034790039
148,D5,2,fasttext,5,i2q,exact,0.35447761194029853,0.009731113956466069,0.35595011711120605
149,D5,2,fasttext,10,i2q,exact,0.3908582089552239,0.005364916773367478,0.6674864292144775
150,D5,2,glove,1,i2q,exact,0.5457089552238806,0.07490396927016646,0.0940694808959961
151,D5,2,glove,5,i2q,exact,0.585820895522388,0.016081946222791292,0.3409299850463867
152,D5,2,glove,10,i2q,exact,0.5970149253731343,0.00819462227912932,0.6524612903594971
153,D5,2,bert,1,i2q,exact,0.09514925373134328,0.013060179257362355,0.09925651550292969
154,D5,2,bert,5,i2q,exact,0.16324626865671643,0.004481434058898848,0.3528287410736084
155,D5,2,bert,10,i2q,exact,0.19682835820895522,0.002701664532650448,0.6799116134643555
156,D5,2,distilbert,1,i2q,exact,0.0914179104477612,0.012548015364916773,0.1010441780090332
157,D5,2,distilbert,5,i2q,exact,0.14458955223880596,0.003969270166453265,0.34874916076660156
158,D5,2,distilbert,10,i2q,exact,0.18936567164179105,0.0025992317541613315,0.660559892654419
159,D5,2,roberta,1,i2q,exact,0.06529850746268656,0.008962868117797696,0.11685037612915039
160,D5,2,roberta,5,i2q,exact,0.08208955223880597,0.0022535211267605635,0.3686187267303467
161,D5,2,roberta,10,i2q,exact,0.09235074626865672,0.0012676056338028169,0.6858737468719482
162,D5,2,xlnet,1,i2q,exact,0.013992537313432836,0.0019206145966709346,0.1021735668182373
163,D5,2,xlnet,5,i2q,exact,0.016791044776119403,0.0004609475032010243,0.35333752632141113
164,D5,2,xlnet,10,i2q,exact,0.018656716417910446,0.00025608194622279127,0.6739194393157959
165,D5,2,albert,1,i2q,exact,0.016791044776119403,0.0023047375160051217,0.09958338737487793
166,D5,2,albert,5,i2q,exact,0.03731343283582089,0.001024327784891165,0.35097360610961914
167,D5,2,albert,10,i2q,exact,0.0457089552238806,0.0006274007682458387,0.7111818790435791
168,D5,2,smpnet,1,i2q,exact,0.808768656716418,0.11101152368758002,0.10227704048156738
169,D5,2,smpnet,5,i2q,exact,0.9151119402985075,0.025121638924455826,0.39583516120910645
170,D5,2,smpnet,10,i2q,exact,0.9384328358208955,0.012880921895006402,0.6847529411315918
171,D5,2,st5,1,i2q,exact,0.7341417910447762,0.10076824583866838,0.10136246681213379
172,D5,2,st5,5,i2q,exact,0.8628731343283582,0.023687580025608196,0.3579390048980713
173,D5,2,st5,10,i2q,exact,0.894589552238806,0.012279129321382842,0.6757688522338867
174,D5,2,sdistilroberta,1,i2q,exact,0.7910447761194029,0.10857874519846351,0.1241154670715332
175,D5,2,sdistilroberta,5,i2q,exact,0.8843283582089553,0.024276568501920615,0.3618052005767822
176,D5,2,sdistilroberta,10,i2q,exact,0.9057835820895522,0.012432778489116517,0.6765708923339844
177,D5,2,sminilm,1,i2q,exact,0.8339552238805971,0.11446862996158771,0.11304426193237305
178,D5,2,sminilm,5,i2q,exact,0.9253731343283582,0.025403329065300895,0.3632650375366211
179,D5,2,sminilm,10,i2q,exact,0.9430970149253731,0.0129449423815621,0.6704988479614258
180,D6,2,word2vec,1,i2q,exact,0.8484018264840183,0.11895006402048655,0.10141611099243164
181,D6,2,word2vec,5,i2q,exact,0.8904109589041096,0.02496798975672215,0.351287841796875
182,D6,2,word2vec,10,i2q,exact,0.9013698630136986,0.01263764404609475,0.6862332820892334
183,D6,2,fasttext,1,i2q,exact,0.7844748858447489,0.10998719590268886,0.11318349838256836
184,D6,2,fasttext,5,i2q,exact,0.8118721461187215,0.022765685019206144,0.35665106773376465
185,D6,2,fasttext,10,i2q,exact,0.8210045662100457,0.011510883482714469,0.6668260097503662
186,D6,2,glove,1,i2q,exact,0.8593607305936073,0.12048655569782331,0.11307263374328613
187,D6,2,glove,5,i2q,exact,0.8995433789954338,0.025224071702944943,0.35756850242614746
188,D6,2,glove,10,i2q,exact,0.9105022831050228,0.012765685019206146,0.6753833293914795
189,D6,2,bert,1,i2q,exact,0.5662100456621004,0.0793854033290653,0.11986541748046875
190,D6,2,bert,5,i2q,exact,0.6301369863013698,0.0176696542893726,0.380873441696167
191,D6,2,bert,10,i2q,exact,0.6639269406392694,0.009308578745198463,0.6940693855285645
192,D6,2,distilbert,1,i2q,exact,0.6566210045662101,0.09206145966709348,0.1183934211730957
193,D6,2,distilbert,5,i2q,exact,0.7479452054794521,0.02097311139564661,0.36736297607421875
194,D6,2,distilbert,10,i2q,exact,0.7881278538812785,0.011049935979513445,0.6844055652618408
195,D6,2,roberta,1,i2q,exact,0.663013698630137,0.09295774647887324,0.11607670783996582
196,D6,2,roberta,5,i2q,exact,0.7442922374429224,0.020870678617157492,0.35535144805908203
197,D6,2,roberta,10,i2q,exact,0.7689497716894977,0.010781049935979514,0.6758544445037842
198,D6,2,xlnet,1,i2q,exact,0.3735159817351598,0.05236875800256082,0.12304377555847168
199,D6,2,xlnet,5,i2q,exact,0.42557077625570777,0.011933418693982074,0.36800169944763184
200,D6,2,xlnet,10,i2q,exact,0.4465753424657534,0.006261203585147247,0.6822235584259033
201,D6,2,albert,1,i2q,exact,0.36621004566210047,0.05134443021766966,0.12015032768249512
202,D6,2,albert,5,i2q,exact,0.4420091324200913,0.012394366197183098,0.36330485343933105
203,D6,2,albert,10,i2q,exact,0.4831050228310502,0.00677336747759283,0.6832840442657471
204,D6,2,smpnet,1,i2q,exact,0.9342465753424658,0.13098591549295774,0.12080240249633789
205,D6,2,smpnet,5,i2q,exact,0.9689497716894977,0.027170294494238155,0.3617072105407715
206,D6,2,smpnet,10,i2q,exact,0.9735159817351599,0.013649167733674776,0.7033231258392334
207,D6,2,st5,1,i2q,exact,0.954337899543379,0.13380281690140844,0.11997628211975098
208,D6,2,st5,5,i2q,exact,0.9735159817351599,0.02729833546734955,0.38466501235961914
209,D6,2,st5,10,i2q,exact,0.9744292237442922,0.013661971830985916,0.6855356693267822
210,D6,2,sdistilroberta,1,i2q,exact,0.9296803652968036,0.13034571062740077,0.11925482749938965
211,D6,2,sdistilroberta,5,i2q,exact,0.9698630136986301,0.027195902688860435,0.3600742816925049
212,D6,2,sdistilroberta,10,i2q,exact,0.9707762557077626,0.013610755441741357,0.6733639240264893
213,D6,2,sminilm,1,i2q,exact,0.9561643835616438,0.13405889884763125,0.11262273788452148
214,D6,2,sminilm,5,i2q,exact,0.9808219178082191,0.027503201024327784,0.3599553108215332
215,D6,2,sminilm,10,i2q,exact,0.9835616438356164,0.01379001280409731,0.675342321395874
216,D7,2,word2vec,1,i2q,exact,0.5045731707317073,0.16396961690885073,0.09688782691955566
