Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
0,0,2,word2vec,10,i2q,approx,0.4150488225157955,0.04237725492035938,0.2496955394744873
1,0,2,fasttext,10,i2q,approx,0.9008615738081562,0.0913986013986014,0.3175623416900635
2,0,2,glove,10,i2q,approx,0.6774267662263067,0.07072778737286509,0.27654600143432617
3,0,2,bert,10,i2q,approx,0.40459506031016657,0.041366674105307664,1.2229130268096924
4,0,2,distilbert,10,i2q,approx,0.43687535898908675,0.04666028661170004,1.2182402610778809
5,0,2,roberta,10,i2q,approx,0.518207926479035,0.0519257775629072,1.389617681503296
6,0,2,xlnet,10,i2q,approx,0.17932222860425043,0.017770340266156665,0.7171008586883545
7,0,2,albert,10,i2q,approx,0.1653072946582424,0.01832607422123736,1.0426545143127441
8,0,2,smpnet,10,i2q,approx,0.630786904078116,0.0679646499653431,1.0933821201324463
9,0,2,st5,10,i2q,approx,0.9508328546812177,0.11316343550900987,1.4874351024627686
10,0,2,sdistilroberta,10,i2q,approx,0.7682940838598507,0.08123997862105825,0.9844264984130859
11,0,2,sminilm,10,i2q,approx,0.750373348650201,0.0830208823192974,0.38488340377807617
12,1,2,word2vec,10,i2q,approx,0.3130876924148499,0.03140545525683305,2.3120293617248535
13,1,2,fasttext,10,i2q,approx,0.8115437301200343,0.07917764342651593,5.520770311355591
14,1,2,glove,10,i2q,approx,0.5950175291959787,0.060614517872389743,5.0843329429626465
15,1,2,bert,10,i2q,approx,0.32383738478326485,0.03199867857478785,12.347881078720093
16,1,2,distilbert,10,i2q,approx,0.3492837408000743,0.03613340827100536,13.897164106369019
17,1,2,roberta,10,i2q,approx,0.40830257017482763,0.03958572968884707,15.694884777069092
18,1,2,xlnet,10,i2q,approx,0.1413480067795036,0.013486242393497895,10.337278604507446
19,1,2,albert,10,i2q,approx,0.1112813726173063,0.011820616654910994,10.096562147140503
20,1,2,smpnet,10,i2q,approx,0.5299621555106684,0.05525779385206811,16.265779972076416
21,1,2,st5,10,i2q,approx,0.9222214483062849,0.10604596277271708,22.012109756469727
22,1,2,sdistilroberta,10,i2q,approx,0.6763715725197929,0.06956397153636755,16.548038482666016
23,1,2,sminilm,10,i2q,approx,0.6607926447029324,0.07044540425479252,5.711041212081909
24,2,2,word2vec,10,i2q,approx,0.2777290431243202,0.027678535001777627,7.2563042640686035
25,2,2,fasttext,10,i2q,approx,0.7452659157631262,0.07083681673455593,15.030292272567749
26,2,2,glove,10,i2q,approx,0.5492473420120004,0.055334613032427295,13.888628482818604
27,2,2,bert,10,i2q,approx,0.29596360106202557,0.028752225672701408,30.447038173675537
28,2,2,distilbert,10,i2q,approx,0.3179643730189363,0.03231204989261013,34.111077308654785
29,2,2,roberta,10,i2q,approx,0.36366188287308326,0.03466827527226059,38.51725673675537
30,2,2,xlnet,10,i2q,approx,0.12187562136683158,0.011428232999955034,26.129606246948242
31,2,2,albert,10,i2q,approx,0.0965881843807385,0.010081157099048773,26.284594297409058
32,2,2,smpnet,10,i2q,approx,0.48676561750704705,0.04985588430492629,37.55370235443115
33,2,2,st5,10,i2q,approx,0.9025462881738541,0.10182241874593416,51.55164813995361
34,2,2,sdistilroberta,10,i2q,approx,0.6342678690480368,0.0641316598330363,40.565672397613525
35,2,2,sminilm,10,i2q,approx,0.621986736376715,0.06477301794175325,16.444109201431274
36,3,2,word2vec,10,i2q,approx,0.23846452787944525,0.023775912372877926,16.98221516609192
37,3,2,fasttext,10,i2q,approx,0.6639849654588377,0.06236906897793575,37.44148135185242
38,3,2,glove,10,i2q,approx,0.5039529474545107,0.05097612864691449,33.79377865791321
39,3,2,bert,10,i2q,approx,0.26341768994739073,0.025635858364338078,73.6900737285614
40,3,2,distilbert,10,i2q,approx,0.28451361055202057,0.0289450126783062,79.60242867469788
41,3,2,roberta,10,i2q,approx,0.31321380718432973,0.029796020391891137,89.49865174293518
42,3,2,xlnet,10,i2q,approx,0.10770694245459765,0.010093926955606616,62.569655418395996
43,3,2,albert,10,i2q,approx,0.08154730486128432,0.008498602406375734,62.66628813743591
44,3,2,smpnet,10,i2q,approx,0.44194126552322177,0.04522531934089938,86.3879623413086
45,3,2,st5,10,i2q,approx,0.8786796053432945,0.09886475250690971,115.43689727783203
46,3,2,sdistilroberta,10,i2q,approx,0.5861904955250199,0.05928659676244179,92.67389869689941
47,3,2,sminilm,10,i2q,approx,0.577263736709918,0.059911975953819585,40.07159924507141
48,4,2,word2vec,10,i2q,approx,0.22415322486519293,0.022194546185766214,28.589035749435425
49,4,2,fasttext,10,i2q,approx,0.6160469043005984,0.05674976131017062,60.01085591316223
50,4,2,glove,10,i2q,approx,0.47784728868554355,0.04794355586349575,57.265727281570435
51,4,2,bert,10,i2q,approx,0.24626314028494284,0.02371408822444052,120.7561731338501
52,4,2,distilbert,10,i2q,approx,0.26589867488347846,0.026783506423221335,125.6816189289093
53,4,2,roberta,10,i2q,approx,0.2897398787709019,0.02728799343678194,144.2597622871399
54,4,2,xlnet,10,i2q,approx,0.09846557264797653,0.009124697468814906,106.10292553901672
55,4,2,albert,10,i2q,approx,0.07571371880762856,0.0078054779125550635,101.12600946426392
56,4,2,smpnet,10,i2q,approx,0.4213683792805621,0.042649392585008564,135.1997709274292
57,4,2,st5,10,i2q,approx,0.8656948108032401,0.09615107064983956,178.2994167804718
58,4,2,sdistilroberta,10,i2q,approx,0.56242753876919,0.056315143223546534,148.83803629875183
59,4,2,sminilm,10,i2q,approx,0.5559809208120327,0.05680484756747131,63.72280430793762
