Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.025305509567260742,195,0.95
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.025336742401123047,195,0.8999999999999999
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.02535700798034668,195,0.8499999999999999
D1,2,word2vec,0.5056179775280899,0.23076923076923078,0.31690140845070425,0.02538275718688965,195,0.7999999999999998
D1,2,word2vec,0.5056179775280899,0.22959183673469388,0.31578947368421056,0.02544260025024414,196,0.7499999999999998
D1,2,word2vec,0.5056179775280899,0.22842639593908629,0.31468531468531463,0.025521039962768555,197,0.6999999999999997
D1,2,word2vec,0.5056179775280899,0.22727272727272727,0.313588850174216,0.025653600692749023,198,0.6499999999999997
D1,2,word2vec,0.5056179775280899,0.22613065326633167,0.3125,0.025728225708007812,199,0.5999999999999996
D1,2,word2vec,0.5056179775280899,0.22613065326633167,0.3125,0.0266416072845459,199,0.5499999999999996
D1,2,word2vec,0.5168539325842697,0.21904761904761905,0.3076923076923077,0.028484821319580078,210,0.4999999999999996
D1,2,word2vec,0.5280898876404494,0.2088888888888889,0.29936305732484075,0.051477670669555664,225,0.4499999999999996
D1,2,word2vec,0.5393258426966292,0.20512820512820512,0.29721362229102166,0.09034204483032227,234,0.39999999999999963
D1,2,word2vec,0.5393258426966292,0.192,0.2831858407079646,0.18349099159240723,250,0.34999999999999964
D1,2,word2vec,0.5393258426966292,0.1509433962264151,0.23587223587223588,0.4375636577606201,318,0.29999999999999966
D1,2,word2vec,0.5393258426966292,0.1415929203539823,0.22429906542056074,0.7994914054870605,339,0.24999999999999967
D1,2,fasttext,0.0,0.0,0.0,0.00041794776916503906,73,0.95
D1,2,fasttext,0.0,0.0,0.0,0.0004291534423828125,73,0.8999999999999999
D1,2,fasttext,0.0,0.0,0.0,0.00043511390686035156,73,0.8499999999999999
D1,2,fasttext,0.0,0.0,0.0,0.00044083595275878906,73,0.7999999999999998
D1,2,fasttext,0.0,0.0,0.0,0.00044608116149902344,73,0.7499999999999998
D1,2,fasttext,0.0,0.0,0.0,0.0004515647888183594,73,0.6999999999999997
D1,2,fasttext,0.0,0.0,0.0,0.0004603862762451172,74,0.6499999999999997
D1,2,fasttext,0.1348314606741573,0.1348314606741573,0.1348314606741573,0.0005178451538085938,89,0.5999999999999996
D1,2,fasttext,0.3707865168539326,0.2727272727272727,0.3142857142857143,0.0007283687591552734,121,0.5499999999999996
D1,2,fasttext,0.6179775280898876,0.34810126582278483,0.44534412955465585,0.0009951591491699219,158,0.4999999999999996
D1,2,fasttext,0.8202247191011236,0.38421052631578945,0.5232974910394265,0.0018777847290039062,190,0.4499999999999996
D1,2,fasttext,0.9213483146067416,0.3813953488372093,0.5394736842105263,0.0038433074951171875,215,0.39999999999999963
D1,2,fasttext,0.9662921348314607,0.3805309734513274,0.546031746031746,0.046471357345581055,226,0.34999999999999964
D1,2,fasttext,0.9662921348314607,0.36909871244635195,0.5341614906832298,0.37912869453430176,233,0.29999999999999966
D1,2,fasttext,0.9662921348314607,0.27388535031847133,0.42679900744416865,0.8423440456390381,314,0.24999999999999967
D1,2,fasttext,0.9662921348314607,0.25903614457831325,0.4085510688836105,1.1878557205200195,332,0.19999999999999968
D1,2,fasttext,0.9662921348314607,0.2536873156342183,0.4018691588785048,1.2258446216583252,339,0.1499999999999997
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002846240997314453,172,0.95
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002881765365600586,172,0.8999999999999999
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0029070377349853516,172,0.8499999999999999
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0029311180114746094,172,0.7999999999999998
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.0029544830322265625,172,0.7499999999999998
D1,2,glove,0.7415730337078652,0.38372093023255816,0.5057471264367817,0.002986907958984375,172,0.6999999999999997
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.0030155181884765625,173,0.6499999999999997
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.0030412673950195312,173,0.5999999999999996
D1,2,glove,0.7415730337078652,0.3815028901734104,0.5038167938931298,0.0030760765075683594,173,0.5499999999999996
D1,2,glove,0.7415730337078652,0.3793103448275862,0.5019011406844106,0.0031609535217285156,174,0.4999999999999996
D1,2,glove,0.7415730337078652,0.375,0.4981132075471698,0.0033364295959472656,176,0.4499999999999996
D1,2,glove,0.7415730337078652,0.3626373626373626,0.4870848708487085,0.003874063491821289,182,0.39999999999999963
D1,2,glove,0.7528089887640449,0.3435897435897436,0.4718309859154929,0.0053555965423583984,195,0.34999999999999964
D1,2,glove,0.7528089887640449,0.335,0.46366782006920415,0.00882577896118164,200,0.29999999999999966
D1,2,glove,0.7865168539325843,0.3167420814479638,0.4516129032258065,0.019196033477783203,221,0.24999999999999967
D1,2,glove,0.797752808988764,0.26996197718631176,0.4034090909090909,0.0878603458404541,263,0.19999999999999968
D1,2,glove,0.8202247191011236,0.24414715719063546,0.37628865979381443,0.31951451301574707,299,0.1499999999999997
D1,2,glove,0.8202247191011236,0.2153392330383481,0.34112149532710284,1.1929271221160889,339,0.09999999999999969
D1,2,bert,0.0,0.0,0.0,0.0003540515899658203,73,0.95
D1,2,bert,0.0,0.0,0.0,0.0003635883331298828,73,0.8999999999999999
D1,2,bert,0.0,0.0,0.0,0.0003685951232910156,73,0.8499999999999999
D1,2,bert,0.0,0.0,0.0,0.00037384033203125,73,0.7999999999999998
D1,2,bert,0.0,0.0,0.0,0.00037860870361328125,73,0.7499999999999998
D1,2,bert,0.0,0.0,0.0,0.00038313865661621094,73,0.6999999999999997
D1,2,bert,0.0,0.0,0.0,0.00038814544677734375,73,0.6499999999999997
D1,2,bert,0.0,0.0,0.0,0.00039267539978027344,73,0.5999999999999996
D1,2,bert,0.0,0.0,0.0,0.0003974437713623047,73,0.5499999999999996
D1,2,bert,0.0,0.0,0.0,0.0004019737243652344,73,0.4999999999999996
D1,2,bert,0.0,0.0,0.0,0.00040650367736816406,73,0.4499999999999996
D1,2,bert,0.0,0.0,0.0,0.0004138946533203125,73,0.39999999999999963
D1,2,bert,0.0,0.0,0.0,0.00043702125549316406,75,0.34999999999999964
D1,2,bert,0.011235955056179775,0.012987012987012988,0.012048192771084338,0.0004930496215820312,77,0.29999999999999966
D1,2,bert,0.16853932584269662,0.14705882352941177,0.15706806282722513,0.0009970664978027344,102,0.24999999999999967
D1,2,bert,0.4943820224719101,0.2802547770700637,0.3577235772357723,0.00420689582824707,157,0.19999999999999968
D1,2,bert,0.7415730337078652,0.25287356321839083,0.37714285714285717,0.05825996398925781,261,0.1499999999999997
D1,2,bert,0.7415730337078652,0.19469026548672566,0.308411214953271,0.35235142707824707,339,0.09999999999999969
D1,2,distilbert,0.0,0.0,0.0,0.00033855438232421875,73,0.95
D1,2,distilbert,0.0,0.0,0.0,0.0003485679626464844,73,0.8999999999999999
D1,2,distilbert,0.0,0.0,0.0,0.00035381317138671875,73,0.8499999999999999
D1,2,distilbert,0.0,0.0,0.0,0.00035858154296875,73,0.7999999999999998
D1,2,distilbert,0.0,0.0,0.0,0.00036334991455078125,73,0.7499999999999998
D1,2,distilbert,0.0,0.0,0.0,0.0003685951232910156,73,0.6999999999999997
D1,2,distilbert,0.0,0.0,0.0,0.0003731250762939453,73,0.6499999999999997
D1,2,distilbert,0.0,0.0,0.0,0.00037789344787597656,73,0.5999999999999996
D1,2,distilbert,0.0,0.0,0.0,0.0003857612609863281,74,0.5499999999999996
D1,2,distilbert,0.15730337078651685,0.14736842105263157,0.15217391304347827,0.00048470497131347656,95,0.4999999999999996
D1,2,distilbert,0.4606741573033708,0.3082706766917293,0.3693693693693693,0.0006771087646484375,133,0.4499999999999996
D1,2,distilbert,0.7303370786516854,0.39156626506024095,0.5098039215686274,0.0009491443634033203,166,0.39999999999999963
D1,2,distilbert,0.8089887640449438,0.4,0.5353159851301116,0.0015308856964111328,180,0.34999999999999964
D1,2,distilbert,0.8426966292134831,0.38461538461538464,0.528169014084507,0.00473475456237793,195,0.29999999999999966
D1,2,distilbert,0.8651685393258427,0.2682926829268293,0.40957446808510645,0.05084586143493652,287,0.24999999999999967
D1,2,distilbert,0.8651685393258427,0.22781065088757396,0.360655737704918,0.2896840572357178,338,0.19999999999999968
