,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
0,D1,0,word2vec,10,i2q,exact,0.7528089887640449,0.0029698581560283687,6.669398069381714
1,D1,0,word2vec,5,i2q,exact,0.7415730337078652,0.005851063829787234,0.27532315254211426
2,D1,0,word2vec,1,i2q,exact,0.6741573033707865,0.026595744680851064,0.03217720985412598
3,D1,0,fasttext,10,i2q,exact,0.9550561797752809,0.0037677304964539005,0.5876703262329102
4,D1,0,fasttext,5,i2q,exact,0.9438202247191011,0.007446808510638298,0.16548562049865723
5,D1,0,fasttext,1,i2q,exact,0.9325842696629213,0.03679078014184397,0.032238006591796875
6,D1,0,glove,10,i2q,exact,0.898876404494382,0.0035460992907801418,0.49721384048461914
7,D1,0,glove,5,i2q,exact,0.8876404494382022,0.00700354609929078,0.2085254192352295
8,D1,0,glove,1,i2q,exact,0.8764044943820225,0.034574468085106384,0.14582061767578125
9,D1,0,bert,10,i2q,exact,0.8764044943820225,0.003457446808510638,0.3981444835662842
10,D1,0,bert,5,i2q,exact,0.8426966292134831,0.006648936170212766,0.1472620964050293
11,D1,0,bert,1,i2q,exact,0.8202247191011236,0.03235815602836879,0.03307294845581055
12,D1,0,distilbert,10,i2q,exact,0.9101123595505618,0.0035904255319148936,0.5289855003356934
13,D1,0,distilbert,5,i2q,exact,0.898876404494382,0.0070921985815602835,0.16519904136657715
14,D1,0,distilbert,1,i2q,exact,0.8539325842696629,0.03368794326241135,0.05780625343322754
15,D1,0,roberta,10,i2q,exact,0.9325842696629213,0.0036790780141843973,0.5527448654174805
16,D1,0,roberta,5,i2q,exact,0.9101123595505618,0.007180851063829787,0.13686347007751465
17,D1,0,roberta,1,i2q,exact,0.898876404494382,0.03546099290780142,0.03454446792602539
18,D1,0,xlnet,10,i2q,exact,0.8539325842696629,0.003368794326241135,0.3795928955078125
19,D1,0,xlnet,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.1246638298034668
20,D1,0,xlnet,1,i2q,exact,0.7752808988764045,0.030585106382978722,0.0329740047454834
21,D1,0,albert,10,i2q,exact,0.8426966292134831,0.003324468085106383,0.608311653137207
22,D1,0,albert,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.12765884399414062
23,D1,0,albert,1,i2q,exact,0.797752808988764,0.031471631205673756,0.03343081474304199
24,D1,0,smpnet,10,i2q,exact,1.0,0.003945035460992907,0.7163021564483643
25,D1,0,smpnet,5,i2q,exact,1.0,0.007890070921985815,0.25652074813842773
26,D1,0,smpnet,1,i2q,exact,0.9887640449438202,0.03900709219858156,0.032463788986206055
27,D1,0,st5,10,i2q,exact,1.0,0.003945035460992907,0.3820624351501465
28,D1,0,st5,5,i2q,exact,1.0,0.007890070921985815,0.12821149826049805
29,D1,0,st5,1,i2q,exact,0.9775280898876404,0.03856382978723404,0.06440329551696777
30,D1,0,sdistilroberta,10,i2q,exact,1.0,0.003945035460992907,0.3733222484588623
31,D1,0,sdistilroberta,5,i2q,exact,1.0,0.007890070921985815,0.1256694793701172
32,D1,0,sdistilroberta,1,i2q,exact,0.9775280898876404,0.03856382978723404,0.19521474838256836
33,D1,0,sminilm,10,i2q,exact,1.0,0.003945035460992907,0.6574461460113525
34,D1,0,sminilm,5,i2q,exact,1.0,0.007890070921985815,0.12813401222229004
35,D1,0,sminilm,1,i2q,exact,1.0,0.03945035460992908,0.03375887870788574
36,D1,1,word2vec,10,i2q,exact,0.0449438202247191,0.0001773049645390071,0.37523555755615234
37,D1,1,word2vec,5,i2q,exact,0.02247191011235955,0.0001773049645390071,0.13613653182983398
38,D1,1,word2vec,1,i2q,exact,0.0,0.0,0.03365063667297363
39,D1,1,fasttext,10,i2q,exact,0.8202247191011236,0.0032358156028368793,0.38892078399658203
40,D1,1,fasttext,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.12475824356079102
41,D1,1,fasttext,1,i2q,exact,0.797752808988764,0.031471631205673756,0.03132367134094238
42,D1,1,glove,10,i2q,exact,0.0449438202247191,0.0001773049645390071,0.29617857933044434
43,D1,1,glove,5,i2q,exact,0.02247191011235955,0.0001773049645390071,0.12365388870239258
44,D1,1,glove,1,i2q,exact,0.0,0.0,0.03185844421386719
45,D1,1,bert,10,i2q,exact,0.8089887640449438,0.0031914893617021275,0.33455443382263184
46,D1,1,bert,5,i2q,exact,0.7191011235955056,0.005673758865248227,0.126692533493042
47,D1,1,bert,1,i2q,exact,0.4943820224719101,0.01950354609929078,0.0326535701751709
48,D1,1,distilbert,10,i2q,exact,0.9662921348314607,0.0038120567375886523,0.5050580501556396
49,D1,1,distilbert,5,i2q,exact,0.9662921348314607,0.007624113475177305,0.1246030330657959
50,D1,1,distilbert,1,i2q,exact,0.9213483146067416,0.03634751773049645,0.03171896934509277
51,D1,1,roberta,10,i2q,exact,0.6853932584269663,0.002703900709219858,0.38701725006103516
52,D1,1,roberta,5,i2q,exact,0.6179775280898876,0.004875886524822695,0.1510465145111084
53,D1,1,roberta,1,i2q,exact,0.449438202247191,0.01773049645390071,0.032729148864746094
54,D1,1,xlnet,10,i2q,exact,0.3707865168539326,0.0014627659574468085,0.38867807388305664
55,D1,1,xlnet,5,i2q,exact,0.30337078651685395,0.0023936170212765957,0.2938230037689209
56,D1,1,xlnet,1,i2q,exact,0.23595505617977527,0.009308510638297872,0.032978057861328125
57,D1,1,albert,10,i2q,exact,0.3258426966292135,0.0012854609929078013,0.35399794578552246
58,D1,1,albert,5,i2q,exact,0.25842696629213485,0.0020390070921985815,0.1287548542022705
59,D1,1,albert,1,i2q,exact,0.12359550561797752,0.004875886524822695,0.034342288970947266
60,D1,1,smpnet,10,i2q,exact,0.8539325842696629,0.003368794326241135,0.7798707485198975
61,D1,1,smpnet,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.12891030311584473
62,D1,1,smpnet,1,i2q,exact,0.5617977528089888,0.022163120567375887,0.03230452537536621
63,D1,1,st5,10,i2q,exact,0.7752808988764045,0.0030585106382978724,0.5958578586578369
64,D1,1,st5,5,i2q,exact,0.7191011235955056,0.005673758865248227,0.28348469734191895
65,D1,1,st5,1,i2q,exact,0.4943820224719101,0.01950354609929078,0.032273054122924805
66,D1,1,sdistilroberta,10,i2q,exact,0.9775280898876404,0.003856382978723404,0.3926048278808594
67,D1,1,sdistilroberta,5,i2q,exact,0.9662921348314607,0.007624113475177305,0.12763500213623047
68,D1,1,sdistilroberta,1,i2q,exact,0.8426966292134831,0.03324468085106383,0.03431439399719238
69,D1,1,sminilm,10,i2q,exact,0.9887640449438202,0.003900709219858156,0.3600046634674072
70,D1,1,sminilm,5,i2q,exact,0.9887640449438202,0.007801418439716312,0.13348627090454102
71,D1,1,sminilm,1,i2q,exact,0.9662921348314607,0.038120567375886524,0.03203105926513672
72,D2,0,word2vec,10,i2q,exact,0.7815985130111525,0.07815985130111525,0.26433587074279785
73,D2,0,word2vec,5,i2q,exact,0.6663568773234201,0.133271375464684,0.060422658920288086
74,D2,0,word2vec,1,i2q,exact,0.38661710037174724,0.38661710037174724,0.015618085861206055
75,D2,0,fasttext,10,i2q,exact,0.7481412639405205,0.07481412639405205,0.31433582305908203
76,D2,0,fasttext,5,i2q,exact,0.6914498141263941,0.1382899628252788,0.0601959228515625
77,D2,0,fasttext,1,i2q,exact,0.49349442379182157,0.49349442379182157,0.016811370849609375
78,D2,0,glove,10,i2q,exact,0.8039033457249071,0.0803903345724907,0.26015686988830566
79,D2,0,glove,5,i2q,exact,0.7156133828996283,0.14312267657992564,0.061838626861572266
80,D2,0,glove,1,i2q,exact,0.4200743494423792,0.4200743494423792,0.016590595245361328
81,D2,0,bert,10,i2q,exact,0.6654275092936803,0.06654275092936802,0.3058781623840332
82,D2,0,bert,5,i2q,exact,0.5771375464684015,0.1154275092936803,0.17607498168945312
83,D2,0,bert,1,i2q,exact,0.3048327137546468,0.3048327137546468,0.01778864860534668
84,D2,0,distilbert,10,i2q,exact,0.7156133828996283,0.07156133828996282,0.3201591968536377
85,D2,0,distilbert,5,i2q,exact,0.612453531598513,0.1224907063197026,0.06431078910827637
86,D2,0,distilbert,1,i2q,exact,0.36059479553903345,0.36059479553903345,0.01777362823486328
87,D2,0,roberta,10,i2q,exact,0.7685873605947955,0.07685873605947956,0.3052244186401367
88,D2,0,roberta,5,i2q,exact,0.6905204460966543,0.13810408921933084,0.10835003852844238
89,D2,0,roberta,1,i2q,exact,0.44888475836431224,0.44888475836431224,0.018706560134887695
90,D2,0,xlnet,10,i2q,exact,0.15613382899628253,0.015613382899628252,0.5508637428283691
91,D2,0,xlnet,5,i2q,exact,0.120817843866171,0.024163568773234202,0.061153411865234375
92,D2,0,xlnet,1,i2q,exact,0.06598513011152417,0.06598513011152417,0.016415119171142578
93,D2,0,albert,10,i2q,exact,0.20631970260223048,0.020631970260223047,0.22763442993164062
94,D2,0,albert,5,i2q,exact,0.1821561338289963,0.036431226765799254,0.06266593933105469
95,D2,0,albert,1,i2q,exact,0.10037174721189591,0.10037174721189591,0.016202449798583984
96,D2,0,smpnet,10,i2q,exact,0.9609665427509294,0.09609665427509294,0.3047516345977783
97,D2,0,smpnet,5,i2q,exact,0.9405204460966543,0.18810408921933086,0.06224942207336426
98,D2,0,smpnet,1,i2q,exact,0.7230483271375465,0.7230483271375465,0.016793489456176758
99,D2,0,st5,10,i2q,exact,0.9693308550185874,0.09693308550185874,0.2529606819152832
100,D2,0,st5,5,i2q,exact,0.9302973977695167,0.18605947955390334,0.40631890296936035
101,D2,0,st5,1,i2q,exact,0.6960966542750929,0.6960966542750929,0.0167238712310791
102,D2,0,sdistilroberta,10,i2q,exact,0.9656133828996283,0.09656133828996283,0.24908781051635742
103,D2,0,sdistilroberta,5,i2q,exact,0.9358736059479554,0.18717472118959108,0.06599235534667969
104,D2,0,sdistilroberta,1,i2q,exact,0.7704460966542751,0.7704460966542751,0.01788949966430664
105,D2,0,sminilm,10,i2q,exact,0.9711895910780669,0.09711895910780668,0.5839629173278809
106,D2,0,sminilm,5,i2q,exact,0.9423791821561338,0.18847583643122676,0.08664560317993164
107,D2,0,sminilm,1,i2q,exact,0.7342007434944238,0.7342007434944238,0.016445398330688477
108,D2,1,word2vec,10,i2q,exact,0.22211895910780668,0.02221189591078067,0.24581503868103027
